"Supplier","Price","SKU","Category","Product","Model","SKU Status","Quantities recommended",
"Boomerce"," 582","010113-060801","iPhone","iphone-1264 GBGoodPurple","iphone-12","Free market","14",
"Boomerce"," 622","010202-082603","Samsung phone","galaxy-note-20256 GBExcellentGrey","galaxy-note-20","Free market","14",
"Boomerce"," 562","010202-082601","Samsung phone","galaxy-note-20256 GBGoodGrey","galaxy-note-20","Free market","14",
"Boomerce"," 1,747","010127-07C101","iPhone","iphone-15-pro128 GBGoodNatural Titanium","iphone-15-pro","Free market","13",
"Boomerce"," 1,273","010123-075003","iPhone","iphone-14-pro128 GBExcellentSpace Black","iphone-14-pro","Free market","13",
"Boomerce"," 1,068","010122-071102","iPhone","iphone-14128 GBVery GoodBlue","iphone-14","Free market","13",
"Boomerce"," 1,066","010122-071602","iPhone","iphone-14128 GBVery GoodStarlight","iphone-14","Free market","13",
"Boomerce"," 1,189","010115-071203","iPhone","iphone-12-pro-max128 GBExcellentGraphite","iphone-12-pro-max","Free market","13",
"Boomerce"," 1,154","010238-08B703","Samsung phone","galaxy-s22-ultra256 GBExcellentBurgundy","galaxy-s22-ultra","Free market","13",
"Boomerce"," 1,038","010122-070803","iPhone","iphone-14128 GBExcellentPurple","iphone-14","Free market","12",
"Boomerce"," 429","010106-060103","iPhone","iphone-xr64 GBExcellentBlack","iphone-xr","Free market","12",
"Boomerce"," 1,127","020106-038651","MacBook","apple-macbook-air-2020-silver-core-i3-5350u-13.38 GBEnglish256 GB SSD","apple-macbook-air-2020-silver","Free market","12",
"Boomerce"," 699","010121-071501","iPhone","iphone-13-mini128 GBGoodPink","iphone-13-mini","Free market","12",
"Boomerce"," 1,373","010122-081103","iPhone","iphone-14256 GBExcellentBlue","iphone-14","Free market","12",
"Boomerce"," 84","06-837-00-76-219-00-00-00-00-07","Accessories","ugreen-20000mah-two-way-fast-charging-power-bank-PB312--Not Relevant-Not relevant---New","ugreen-20000mah-two-way-fast-charging-power-bank-PB312","Free market","12",
"Boomerce"," 2,041","010124-09B803","iPhone","iphone-14-pro-max512 GBExcellentDeep Purple","iphone-14-pro-max","Free market","12",
"Boomerce"," 958","010118-081403","iPhone","iphone-13256 GBExcellentMidnight","iphone-13","Free market","12",
"Boomerce"," 665","010121-071603","iPhone","iphone-13-mini128 GBExcellentStarlight","iphone-13-mini","Free market","12",
"Boomerce"," 176","08-797-206-30-292-00-05-17-00-02","Tablet","iPad-(5th-generation)-A1822-Wi-Fi-32 GB-Silver--9.7-Very Good","iPad-(5th-generation)","Free market","12",
"Boomerce"," 9,999","020521-038651","Laptop","hp-elitebook-840-g6-core-i5-8th-gen-148 GBEnglish256 GB SSD","hp-elitebook-840-g6","Free market","12",
"Boomerce"," 1,232","010119-070501","iPhone","iphone-13-pro128 GBGoodSilver","iphone-13-pro","Free market","12",
"Boomerce"," 1,853","010128-08C101","iPhone","iphone-15-pro-max256 GBGoodNatural Titanium","iphone-15-pro-max","Free market","12",
"Boomerce"," 1,400","010120-080503","iPhone","iphone-13-pro-max256 GBExcellentSilver","iphone-13-pro-max","Free market","12",
"Boomerce"," 966","010114-080503","iPhone","iphone-12-pro256 GBExcellentSilver","iphone-12-pro","Free market","12",
"Boomerce"," 126","08-810-206-30-301-00-05-18-00-02","Tablet","iPad-Air-A1474-Wi-Fi-32 GB-Space Gray--9.7-Very Good","iPad-Air","Free market","12",
"Boomerce"," 1,980","010128-08C201","iPhone","iphone-15-pro-max256 GBGoodBlue Titanium","iphone-15-pro-max","Free market","12",
"Boomerce"," 964","02-890-94-17-27-09-20-48-03-08","Laptop","lenovo-thinkpad-t14-g1--intel-core-i7-10th-gen-16 GB-512 GB-Black-14-English","lenovo-thinkpad-t14-g1","Free market","12",
"Boomerce"," 9,999","010127-07C403","iPhone","iphone-15-pro128 GBExcellentBlack Titanium","iphone-15-pro","Free market","12",
"Boomerce"," 1,235","010120-071203","iPhone","iphone-13-pro-max128 GBExcellentGraphite","iphone-13-pro-max","Free market","12",
"Boomerce"," 584","010211-074303","Samsung phone","galaxy-s21128 GBExcellentPhantom Pink","galaxy-s21","Free market","12",
"Boomerce"," 587","010113-060803","iPhone","iphone-1264 GBExcellentPurple","iphone-12","Free market","12",
"Boomerce"," 1,206","010120-071803","iPhone","iphone-13-pro-max128 GBExcellentSierra Blue","iphone-13-pro-max","Free market","11",
"Boomerce"," 2,145","010128-08C401","iPhone","iphone-15-pro-max256 GBGoodBlack Titanium","iphone-15-pro-max","Free market","11",
"Boomerce"," 619","010110-060603","iPhone","iphone-11-pro64 GBExcellentSpace Grey","iphone-11-pro","Free market","11",
"Boomerce"," 9,999","010109-060803","iPhone","iphone-1164 GBExcellentPurple","iphone-11","Free market","11",
"Boomerce"," 802","010111-080603","iPhone","iphone-11-pro-max256 GBExcellentSpace Grey","iphone-11-pro-max","Free market","11",
"Boomerce"," 752","010258-08X402","Samsung phone","samsung-galaxy-z-flip-4256 GBVery GoodBorapurple","samsung-galaxy-z-flip-4","Free market","11",
"Boomerce"," 1,228","010120-070301","iPhone","iphone-13-pro-max128 GBGoodGold","iphone-13-pro-max","Free market","11",
"Boomerce"," 880","010118-071501","iPhone","iphone-13128 GBGoodPink","iphone-13","Free market","11",
"Boomerce"," 803","010114-070303","iPhone","iphone-12-pro128 GBExcellentGold","iphone-12-pro","Free market","11",
"Boomerce"," 773","010110-080603","iPhone","iphone-11-pro256 GBExcellentSpace Grey","iphone-11-pro","Free market","11",
"Boomerce"," 586","010109-070803","iPhone","iphone-11128 GBExcellentPurple","iphone-11","Free market","11",
"Boomerce"," 1,109","010125-070801","iPhone","iphone-14-plus128 GBGoodPurple","iphone-14-plus","Free market","11",
"Boomerce"," 94","061214-000204","Audio","jbl-earbuds-wave-200-twsNot relevantNewWhite","jbl-earbuds-wave-200-tws","Free market","11",
"Boomerce"," 334","020403-028551","Laptop","dell-latitude-3189-2-in-1-touch-celeron-11.64 GBEnglish128 GB SSD","dell-latitude-3189-2-in-1-touch","Free market","11",
